Year,Month,Day,Hour,Minute,Second,Millisecond,Voltage,Current
2025,07,17,15,02,48,652,0000,0000
2025,07,17,15,02,48,665,0000,0000
2025,07,17,15,02,48,679,0000,0000
2025,07,17,15,02,48,692,0000,0000
2025,07,17,15,02,48,706,0000,0000
2025,07,17,15,02,48,719,0000,0000
2025,07,17,15,02,48,732,0000,0000
2025,07,17,15,02,48,746,0000,0000
2025,07,17,15,02,48,759,0000,0000
2025,07,17,15,02,48,773,0000,0000
2025,07,17,15,02,48,786,0000,0000
2025,07,17,15,02,48,800,0000,0000
2025,07,17,15,02,48,813,0000,0000
2025,07,17,15,02,48,827,0000,0000
2025,07,17,15,02,48,840,0000,0000
2025,07,17,15,02,48,854,0000,0000
2025,07,17,15,02,48,867,0000,0000
2025,07,17,15,02,48,881,0000,0000
2025,07,17,15,02,48,894,0000,0000
2025,07,17,15,02,48,908,0000,0000
2025,07,17,15,02,48,921,0000,0000
2025,07,17,15,02,48,935,0000,0000
2025,07,17,15,02,48,948,0000,0000
2025,07,17,15,02,48,962,0000,0000
2025,07,17,15,02,48,975,0000,0000
2025,07,17,15,02,48,989,0000,0000
2025,07,17,15,02,49,002,0000,0000
2025,07,17,15,02,49,016,0000,0000
2025,07,17,15,02,49,029,0000,0000
2025,07,17,15,02,49,043,0000,0000
2025,07,17,15,02,49,056,0000,0000
2025,07,17,15,02,49,070,0000,0000
2025,07,17,15,02,49,083,0000,0000
2025,07,17,15,02,49,097,0000,0000
2025,07,17,15,02,49,110,0000,0000
2025,07,17,15,02,49,124,0000,0000
2025,07,17,15,02,49,137,0000,0000
2025,07,17,15,02,49,150,0000,0000
2025,07,17,15,02,49,164,0000,0000
2025,07,17,15,02,49,177,0000,0000
2025,07,17,15,02,49,191,0000,0000
2025,07,17,15,02,49,204,0000,0000
2025,07,17,15,02,49,218,0000,0000
2025,07,17,15,02,49,231,0000,0000
2025,07,17,15,02,49,245,0000,0000
2025,07,17,15,02,49,258,0000,0000
2025,07,17,15,02,49,272,0000,0000
2025,07,17,15,02,49,285,0000,0000
2025,07,17,15,02,49,299,0000,0000
2025,07,17,15,02,49,312,0000,0000
2025,07,17,15,02,49,326,0000,0000
2025,07,17,15,02,49,339,0000,0000
2025,07,17,15,02,49,353,0000,0000
2025,07,17,15,02,49,366,0000,0000
2025,07,17,15,02,49,380,0000,0000
2025,07,17,15,02,49,393,0000,0000
2025,07,17,15,02,49,407,0000,0000
2025,07,17,15,02,49,420,0000,0000
2025,07,17,15,02,49,433,0000,0000
2025,07,17,15,02,49,447,0000,0000
2025,07,17,15,02,49,460,0000,0000
2025,07,17,15,02,49,474,0000,0000
2025,07,17,15,02,49,487,0000,0000
2025,07,17,15,02,49,501,0000,0000
2025,07,17,15,02,49,514,0000,0000
2025,07,17,15,02,49,528,0000,0000
2025,07,17,15,02,49,541,0000,0000
2025,07,17,15,02,49,555,0000,0000
2025,07,17,15,02,49,568,0000,0000
2025,07,17,15,02,49,582,0000,0000
2025,07,17,15,02,49,595,0000,0000
2025,07,17,15,02,49,609,0000,0000
2025,07,17,15,02,49,622,0000,0000
2025,07,17,15,02,49,635,0000,0000
2025,07,17,15,02,49,649,0000,0000
2025,07,17,15,02,49,662,0000,0000
2025,07,17,15,02,49,676,0000,0000
2025,07,17,15,02,49,689,0000,0000
2025,07,17,15,02,49,703,0000,0000
2025,07,17,15,02,49,716,0000,0000
2025,07,17,15,02,49,730,0000,0000
2025,07,17,15,02,49,743,0000,0000
2025,07,17,15,02,49,757,0000,0000
2025,07,17,15,02,49,770,0000,0000
2025,07,17,15,02,49,784,0000,0000
2025,07,17,15,02,49,797,0000,0000
2025,07,17,15,02,49,811,0000,0000
2025,07,17,15,02,49,824,0000,0000
2025,07,17,15,02,49,838,0000,0000
2025,07,17,15,02,49,851,0000,0000
2025,07,17,15,02,49,865,0000,0000
2025,07,17,15,02,49,878,0000,0000
2025,07,17,15,02,49,891,0000,0000
2025,07,17,15,02,49,905,0000,0000
2025,07,17,15,02,49,918,0000,0000
2025,07,17,15,02,49,932,0000,0000
2025,07,17,15,02,49,945,0000,0000
2025,07,17,15,02,49,959,0000,0000
2025,07,17,15,02,49,972,0000,0000
2025,07,17,15,02,49,986,0000,0000
2025,07,17,15,02,49,999,0000,0000
2025,07,17,15,02,50,013,0000,0000
2025,07,17,15,02,50,026,0000,0000
2025,07,17,15,02,50,040,0000,0000
2025,07,17,15,02,50,053,0000,0000
2025,07,17,15,02,50,067,0000,0000
2025,07,17,15,02,50,080,0000,0000
2025,07,17,15,02,50,093,0000,0000
2025,07,17,15,02,50,107,0000,0000
2025,07,17,15,02,50,120,0000,0000
2025,07,17,15,02,50,134,0000,0000
2025,07,17,15,02,50,147,0000,0000
2025,07,17,15,02,50,161,0000,0000
2025,07,17,15,02,50,174,0000,0000
2025,07,17,15,02,50,188,0000,0000
2025,07,17,15,02,50,201,0000,0000
2025,07,17,15,02,50,215,0000,0000
2025,07,17,15,02,50,228,0000,0000
2025,07,17,15,02,50,241,0000,0000
2025,07,17,15,02,50,255,0000,0000
2025,07,17,15,02,50,268,0000,0000
2025,07,17,15,02,50,282,0000,0000
2025,07,17,15,02,50,295,0000,0000
2025,07,17,15,02,50,309,0000,0000
2025,07,17,15,02,50,322,0000,0000
2025,07,17,15,02,50,336,0000,0000
2025,07,17,15,02,50,349,0000,0000
2025,07,17,15,02,50,363,0000,0000
2025,07,17,15,02,50,376,0000,0000
2025,07,17,15,02,50,389,0000,0000
2025,07,17,15,02,50,403,0000,0000
2025,07,17,15,02,50,416,0000,0000
2025,07,17,15,02,50,430,0000,0000
2025,07,17,15,02,50,443,0000,0000
2025,07,17,15,02,50,457,0000,0000
2025,07,17,15,02,50,470,0000,0000
2025,07,17,15,02,50,484,0000,0000
2025,07,17,15,02,50,497,0000,0000
2025,07,17,15,02,50,511,0000,0000
2025,07,17,15,02,50,524,0000,0000
2025,07,17,15,02,50,538,0000,0000
2025,07,17,15,02,50,551,0000,0000
2025,07,17,15,02,50,564,0000,0000
2025,07,17,15,02,50,578,0000,0000
2025,07,17,15,02,50,591,0000,0000
2025,07,17,15,02,50,605,0000,0000
2025,07,17,15,02,50,618,0000,0000
2025,07,17,15,02,50,632,0000,0000
2025,07,17,15,02,50,645,0000,0000
2025,07,17,15,02,50,659,0000,0000
2025,07,17,15,02,50,672,0000,0000
2025,07,17,15,02,50,686,0000,0000
2025,07,17,15,02,50,699,0000,0000
2025,07,17,15,02,50,713,0000,0000
2025,07,17,15,02,50,726,0000,0000
2025,07,17,15,02,50,740,0000,0000
2025,07,17,15,02,50,753,0000,0000
2025,07,17,15,02,50,766,0000,0000
2025,07,17,15,02,50,780,0000,0000
2025,07,17,15,02,50,793,0000,0000
2025,07,17,15,02,50,808,0000,0000
2025,07,17,15,02,50,821,0000,0000
2025,07,17,15,02,50,835,0000,0000
2025,07,17,15,02,50,848,0000,0000
2025,07,17,15,02,50,862,0000,0000
2025,07,17,15,02,50,875,0000,0000
2025,07,17,15,02,50,889,0000,0000
2025,07,17,15,02,50,902,0000,0000
2025,07,17,15,02,50,916,0000,0000
2025,07,17,15,02,50,929,0000,0000
2025,07,17,15,02,50,943,0000,0000
2025,07,17,15,02,50,956,0000,0000
2025,07,17,15,02,50,970,0000,0000
2025,07,17,15,02,50,983,0000,0000
2025,07,17,15,02,50,997,0000,0000
2025,07,17,15,02,51,010,0000,0000
2025,07,17,15,02,51,024,0000,0000
2025,07,17,15,02,51,037,0000,0000
2025,07,17,15,02,51,051,0000,0000
2025,07,17,15,02,51,064,0000,0000
2025,07,17,15,02,51,078,0000,0000
2025,07,17,15,02,51,091,0000,0000
2025,07,17,15,02,51,105,0000,0000
2025,07,17,15,02,51,118,0000,0000
2025,07,17,15,02,51,132,0000,0000
2025,07,17,15,02,51,145,0000,0000
2025,07,17,15,02,51,159,0000,0000
2025,07,17,15,02,51,172,0000,0000
2025,07,17,15,02,51,186,0000,0000
2025,07,17,15,02,51,199,0000,0000
2025,07,17,15,02,51,213,0000,0000
2025,07,17,15,02,51,226,0000,0000
2025,07,17,15,02,51,240,0000,0000
2025,07,17,15,02,51,253,0000,0000
2025,07,17,15,02,51,267,0000,0000
2025,07,17,15,02,51,280,0000,0000
2025,07,17,15,02,51,294,0000,0000
2025,07,17,15,02,51,307,0000,0000
2025,07,17,15,02,51,321,0000,0000
2025,07,17,15,02,51,334,0000,0000
2025,07,17,15,02,51,348,0000,0000
2025,07,17,15,02,51,361,0000,0000
2025,07,17,15,02,51,375,0000,0000
2025,07,17,15,02,51,388,0000,0000
2025,07,17,15,02,51,401,0000,0000
2025,07,17,15,02,51,415,0000,0000
2025,07,17,15,02,51,428,0000,0000
2025,07,17,15,02,51,442,0000,0000
2025,07,17,15,02,51,455,0000,0000
2025,07,17,15,02,51,469,0000,0000
2025,07,17,15,02,51,482,0000,0000
2025,07,17,15,02,51,496,0000,0000
2025,07,17,15,02,51,509,0000,0000
2025,07,17,15,02,51,523,0000,0000
2025,07,17,15,02,51,536,0000,0000
2025,07,17,15,02,51,550,0000,0000
2025,07,17,15,02,51,563,0000,0000
2025,07,17,15,02,51,577,0000,0000
2025,07,17,15,02,51,590,0000,0000
2025,07,17,15,02,51,604,0000,0000
2025,07,17,15,02,51,617,0000,0000
2025,07,17,15,02,51,630,0000,0000
2025,07,17,15,02,51,644,0000,0000
2025,07,17,15,02,51,657,0000,0000
2025,07,17,15,02,51,671,0000,0000
2025,07,17,15,02,51,684,0000,0000
2025,07,17,15,02,51,698,0000,0000
2025,07,17,15,02,51,711,0000,0000
2025,07,17,15,02,51,725,0000,0000
2025,07,17,15,02,51,738,0000,0000
2025,07,17,15,02,51,752,0000,0000
2025,07,17,15,02,51,765,0000,0000
2025,07,17,15,02,51,779,0000,0000
2025,07,17,15,02,51,792,0000,0000
2025,07,17,15,02,51,806,0000,0000
2025,07,17,15,02,51,819,0000,0000
2025,07,17,15,02,51,832,0000,0000
2025,07,17,15,02,51,846,0000,0000
2025,07,17,15,02,51,859,0000,0000
2025,07,17,15,02,51,873,0000,0000
2025,07,17,15,02,51,886,0000,0000
2025,07,17,15,02,51,900,0000,0000
2025,07,17,15,02,51,913,0000,0000
2025,07,17,15,02,51,927,0000,0000
2025,07,17,15,02,51,940,0000,0000
2025,07,17,15,02,51,954,0000,0000
2025,07,17,15,02,51,967,0000,0000
2025,07,17,15,02,51,980,0000,0000
2025,07,17,15,02,51,994,0000,0000
2025,07,17,15,02,52,007,0000,0000
2025,07,17,15,02,52,021,0000,0000
2025,07,17,15,02,52,034,0000,0000
2025,07,17,15,02,52,048,0000,0000
2025,07,17,15,02,52,061,0000,0000
2025,07,17,15,02,52,075,0000,0000
2025,07,17,15,02,52,088,0000,0000
2025,07,17,15,02,52,102,0000,0000
2025,07,17,15,02,52,115,0000,0000
2025,07,17,15,02,52,129,0000,0000
2025,07,17,15,02,52,142,0000,0000
2025,07,17,15,02,52,156,0000,0000
2025,07,17,15,02,52,169,0000,0000
2025,07,17,15,02,52,182,0000,0000
2025,07,17,15,02,52,196,0000,0000
2025,07,17,15,02,52,209,0000,0000
2025,07,17,15,02,52,223,0000,0000
2025,07,17,15,02,52,236,0000,0000
2025,07,17,15,02,52,250,0000,0000
2025,07,17,15,02,52,263,0000,0000
2025,07,17,15,02,52,277,0000,0000
2025,07,17,15,02,52,290,0000,0000
2025,07,17,15,02,52,304,0000,0000
2025,07,17,15,02,52,317,0000,0000
2025,07,17,15,02,52,331,0000,0000
2025,07,17,15,02,52,344,0000,0000
2025,07,17,15,02,52,358,0000,0000
2025,07,17,15,02,52,371,0000,0000
2025,07,17,15,02,52,385,0000,0000
2025,07,17,15,02,52,398,0000,0000
2025,07,17,15,02,52,412,0000,0000
2025,07,17,15,02,52,425,0000,0000
2025,07,17,15,02,52,439,0000,0000
2025,07,17,15,02,52,452,0000,0000
2025,07,17,15,02,52,466,0000,0000
2025,07,17,15,02,52,480,0000,0000
2025,07,17,15,02,52,493,0000,0000
2025,07,17,15,02,52,507,0000,0000
2025,07,17,15,02,52,520,0000,0000
2025,07,17,15,02,52,534,0000,0000
2025,07,17,15,02,52,547,0000,0000
2025,07,17,15,02,52,561,0000,0000
2025,07,17,15,02,52,574,0000,0000
2025,07,17,15,02,52,588,0000,0000
2025,07,17,15,02,52,601,0000,0000
2025,07,17,15,02,52,615,0000,0000
2025,07,17,15,02,52,628,0000,0000
2025,07,17,15,02,52,642,0000,0000
2025,07,17,15,02,52,655,0000,0000
2025,07,17,15,02,52,669,0000,0000
2025,07,17,15,02,52,682,0000,0000
2025,07,17,15,02,52,696,0000,0000
2025,07,17,15,02,52,709,0000,0000
2025,07,17,15,02,52,723,0000,0000
2025,07,17,15,02,52,737,0000,0000
2025,07,17,15,02,52,750,0000,0000
2025,07,17,15,02,52,764,0000,0000
2025,07,17,15,02,52,777,0000,0000
2025,07,17,15,02,52,791,0000,0000
2025,07,17,15,02,52,804,0000,0000
2025,07,17,15,02,52,818,0000,0000
2025,07,17,15,02,52,831,0000,0000
2025,07,17,15,02,52,845,0000,0000
2025,07,17,15,02,52,858,0000,0000
2025,07,17,15,02,52,872,0000,0000
2025,07,17,15,02,52,885,0000,0000
2025,07,17,15,02,52,899,0000,0000
2025,07,17,15,02,52,912,0000,0000
2025,07,17,15,02,52,926,0000,0000
2025,07,17,15,02,52,939,0000,0000
2025,07,17,15,02,52,953,0000,0000
2025,07,17,15,02,52,966,0000,0000
2025,07,17,15,02,52,980,0000,0000
2025,07,17,15,02,52,993,0000,0000
2025,07,17,15,02,53,007,0000,0000
2025,07,17,15,02,53,021,0000,0000
2025,07,17,15,02,53,034,0000,0000
2025,07,17,15,02,53,048,0000,0000
2025,07,17,15,02,53,061,0000,0000
2025,07,17,15,02,53,075,0000,0000
2025,07,17,15,02,53,088,0000,0000
2025,07,17,15,02,53,102,0000,0000
2025,07,17,15,02,53,115,0000,0000
2025,07,17,15,02,53,129,0000,0000
2025,07,17,15,02,53,142,0000,0000
2025,07,17,15,02,53,156,0000,0000
2025,07,17,15,02,53,169,0000,0000
2025,07,17,15,02,53,183,0000,0000
2025,07,17,15,02,53,196,0000,0000
2025,07,17,15,02,53,210,0000,0000
2025,07,17,15,02,53,223,0000,0000
2025,07,17,15,02,53,237,0000,0000
2025,07,17,15,02,53,250,0000,0000
2025,07,17,15,02,53,264,0000,0000
2025,07,17,15,02,53,277,0000,0000
2025,07,17,15,02,53,291,0000,0000
2025,07,17,15,02,53,304,0000,0000
2025,07,17,15,02,53,318,0000,0000
2025,07,17,15,02,53,331,0000,0000
2025,07,17,15,02,53,345,0000,0000
2025,07,17,15,02,53,358,0000,0000
2025,07,17,15,02,53,372,0000,0000
2025,07,17,15,02,53,385,0000,0000
2025,07,17,15,02,53,399,0000,0000
2025,07,17,15,02,53,412,0000,0000
2025,07,17,15,02,53,426,0000,0000
2025,07,17,15,02,53,439,0000,0000
2025,07,17,15,02,53,453,0000,0000
2025,07,17,15,02,53,466,0000,0000
2025,07,17,15,02,53,480,0000,0000
2025,07,17,15,02,53,493,0000,0000
2025,07,17,15,02,53,507,0000,0000
2025,07,17,15,02,53,520,0000,0000
2025,07,17,15,02,53,533,0000,0000
2025,07,17,15,02,53,547,0000,0000
2025,07,17,15,02,53,560,0000,0000
2025,07,17,15,02,53,574,0000,0000
2025,07,17,15,02,53,587,0000,0000
2025,07,17,15,02,53,601,0000,0000
2025,07,17,15,02,53,614,0000,0000
2025,07,17,15,02,53,628,0000,0000
2025,07,17,15,02,53,641,0000,0000
2025,07,17,15,02,53,655,0000,0000
2025,07,17,15,02,53,668,0000,0000
2025,07,17,15,02,53,682,0000,0000
2025,07,17,15,02,53,695,0000,0000
2025,07,17,15,02,53,709,0000,0000
2025,07,17,15,02,53,722,0000,0000
2025,07,17,15,02,53,735,0000,0000
2025,07,17,15,02,53,749,0000,0000
2025,07,17,15,02,53,762,0000,0000
2025,07,17,15,02,53,776,0000,0000
2025,07,17,15,02,53,789,0000,0000
2025,07,17,15,02,53,803,0000,0000
2025,07,17,15,02,53,816,0000,0000
2025,07,17,15,02,53,830,0000,0000
2025,07,17,15,02,53,843,0000,0000
2025,07,17,15,02,53,857,0000,0000
2025,07,17,15,02,53,870,0000,0000
2025,07,17,15,02,53,884,0000,0000
2025,07,17,15,02,53,897,0000,0000
2025,07,17,15,02,53,910,0000,0000
2025,07,17,15,02,53,924,0000,0000
2025,07,17,15,02,53,937,0000,0000
2025,07,17,15,02,53,951,0000,0000
2025,07,17,15,02,53,964,0000,0000
2025,07,17,15,02,53,978,0000,0000
2025,07,17,15,02,53,991,0000,0000
2025,07,17,15,02,54,004,0000,0000
2025,07,17,15,02,54,018,0000,0000
2025,07,17,15,02,54,031,0000,0000
