Year,Month,Day,Hour,Minute,Second,Millisecond,Voltage,Current
2025,07,16,16,33,48,941,0000,0000
2025,07,16,16,33,49,041,0000,0000
2025,07,16,16,33,49,141,0000,0000
2025,07,16,16,33,49,241,0000,0000
2025,07,16,16,33,49,341,0000,0000
2025,07,16,16,33,49,441,0000,0000
2025,07,16,16,33,49,541,0000,0000
2025,07,16,16,33,49,641,0000,0000
2025,07,16,16,33,49,741,0000,0000
2025,07,16,16,33,49,841,0000,0000
2025,07,16,16,33,49,941,0000,0000
2025,07,16,16,33,50,041,0000,0000
2025,07,16,16,33,50,141,0000,0000
2025,07,16,16,33,50,241,0000,0000
2025,07,16,16,33,50,341,0000,0000
2025,07,16,16,33,50,441,0000,0000
2025,07,16,16,33,50,541,0000,0000
2025,07,16,16,33,50,641,0000,0000
2025,07,16,16,33,50,741,0000,0000
2025,07,16,16,33,50,841,0000,0000
2025,07,16,16,33,50,941,0000,0000
2025,07,16,16,33,51,041,0000,0000
2025,07,16,16,33,51,141,0000,0000
2025,07,16,16,33,51,241,0000,0000
2025,07,16,16,33,51,341,0000,0000
2025,07,16,16,33,51,441,0000,0000
2025,07,16,16,33,51,541,0000,0000
2025,07,16,16,33,51,641,0000,0000
2025,07,16,16,33,51,741,0000,0000
2025,07,16,16,33,51,841,0000,0000
2025,07,16,16,33,51,942,0000,0000
2025,07,16,16,33,52,042,0000,0000
2025,07,16,16,33,52,142,0000,0000
2025,07,16,16,33,52,242,0000,0000
2025,07,16,16,33,52,342,0000,0000
2025,07,16,16,33,52,442,0000,0000
2025,07,16,16,33,52,542,0000,0000
2025,07,16,16,33,52,642,0000,0000
2025,07,16,16,33,52,742,0000,0000
2025,07,16,16,33,52,842,0000,0000
2025,07,16,16,33,52,942,0000,0000
2025,07,16,16,33,53,042,0000,0000
2025,07,16,16,33,53,142,0000,0000
2025,07,16,16,33,53,242,0000,0000
2025,07,16,16,33,53,342,0000,0000
2025,07,16,16,33,53,442,0000,0000
2025,07,16,16,33,53,542,0000,0000
2025,07,16,16,33,53,642,0000,0000
2025,07,16,16,33,53,742,0000,0000
2025,07,16,16,33,53,842,0000,0000
2025,07,16,16,33,53,942,0000,0000
2025,07,16,16,33,54,042,0000,0000
2025,07,16,16,33,54,142,0000,0000
2025,07,16,16,33,54,242,0000,0000
2025,07,16,16,33,54,342,0000,0000
2025,07,16,16,33,54,442,0000,0000
2025,07,16,16,33,54,542,0000,0000
2025,07,16,16,33,54,642,0000,0000
2025,07,16,16,33,54,742,0000,0000
2025,07,16,16,33,54,842,0000,0000
2025,07,16,16,33,54,942,0000,0000
2025,07,16,16,33,55,042,0000,0000
2025,07,16,16,33,55,142,0000,0000
2025,07,16,16,33,55,242,0000,0000
2025,07,16,16,33,55,342,0000,0000
2025,07,16,16,33,55,442,0000,0000
2025,07,16,16,33,55,542,0000,0000
2025,07,16,16,33,55,642,0000,0000
2025,07,16,16,33,55,742,0000,0000
2025,07,16,16,33,55,842,0000,0000
2025,07,16,16,33,55,942,0000,0000
